id,name,oao,address,avcr_note,avcr_date,mkcr_note,mkcr_date
88382,Muzeum východních Čech v Hradci Králové,Muzeum Hradec Králové,Eliščino nábřeží  465<br> 50001  Hradec Králové,"okres Havlíčkův Brod, Hradec Králové, Chrudim, Jičín, Náchod, Pardubice, Rychnov n. Kněžnou, Semily, Svitavy, Trutnov a Ústí n. Orlicí",2/22/2000,čj. 5821/91,–
49558676,"Městská kulturní zařízení Hranice, p.o. - Muzeum a galerie v Hranicích",Muzeum Hranice,Masarykovo náměstí 71<br> 75301 Hranice,území města Hranice,"26.4.1999, zrušení Dohody dodatkem ze dne 12. 4. 2019 (zánik oprávnění)",čj. 15.179/94 - odejmuto rozhodnutím č.j. MK 5304/2020 OPP,"13.2.1995, rozhodnutí o odejmutí povolení ze dne 7.2.2020"
64095410,Vlastivědné muzeum Jesenicka,Muzeum Jeseník,–,–,–,č.j. 14.653/98,2/3/1999
84549,Regionální muzeum a galerie Jičín,Muzeum Jičín,Valdštejnovo náměstí 1<br> 50601 Jičín,okres Jičín,6/2/1999,13387/90-PP,11/23/1990
90735,Muzeum Vysočiny v Jihlavě,Muzeum Jihlava,Masarykovo náměstí 55<br> 58601  Jihlava,území regionu Českomoravské vrchoviny,23.3.1999,k č.j. 4.900/97,14.7.1998
70971,Muzeum Jindřichohradecka,Muzeum Jindřichův Hradec,Balbínovo nám. 19/I<br> 37701 Jindřichův Hradec,okres Jindřichův Hradec,24.2.2020 (na 5 let),čj. 6.463/92,5/4/1992
72053810,Muzeum Karlovy Vary Karlovarského kraje,Muzeum Karlovy Vary,Pod Jelením skokem 393/30<br> 36001 Karlovy Vary,okres Karlovy Vary a východní části okresu Sokolov,dohodu ze dne 5.3.2001 MK neeviduje (uzavřena před vydáním povolení),čj.18999/2004,2/4/2005
75078,Vlastivědné muzeum Dr. Hostaše v Klatovech,Muzeum Klatovy,Hostašova 1<br> 33901  Klatovy,okres Klatovy,2/26/2001,15382/91,1/7/1992
410047,Regionální muzeum v Kolíně,Muzeum Kolín,Brandlova 35<br> 28002 Kolín,"okres Kolín, vyjma území v působnosti stav. úř. Český Brod",5/12/1999,–,5/30/1988
91138,Muzeum Kroměřížska,Muzeum Kroměříž,Velké nám 38<br> 76711 Kroměříž,okres Kroměříž,24.9.1999,čj. 7933/2006,23.8.2006
